Id,SalePrice,bhk,sqft,YearBuilt
1461,169277.0525,2,11622,1961
1462,187758.394,3,14267,1958
1463,183583.6836,3,13830,1997
1464,179317.4775,3,9978,1998
1465,150730.08,2,5005,1992
1466,177150.9892,3,10000,1993
1467,172070.6592,3,7980,1992
1468,175110.9565,3,8402,1998
1469,162011.6988,2,10176,1990
1470,160726.2478,2,8400,1970
1471,157933.2795,2,5858,1999
1472,145291.245,2,1680,1971
1473,159672.0176,3,1680,1971
1474,164167.5183,3,2280,1975
1475,150891.6382,2,2280,1975
1476,179460.9652,3,12858,2009
1477,185034.6289,3,12883,2009
1478,182352.1926,3,11520,2005
1479,183053.4582,3,14122,2005
1480,187823.3393,3,14300,2003
1481,186544.1143,3,13650,2002
1482,158230.7752,2,7132,2006
1483,190552.8293,3,18494,2005
1484,147183.6749,2,3203,2006
1485,185855.3009,3,13300,2004
1486,174350.4707,3,8577,2004
1487,201740.6207,4,17433,1998
1488,162986.3789,2,8987,2005
1489,162330.1991,2,9215,2009
1490,165845.9386,2,10440,2005
1491,180929.6229,3,11920,2004
1492,163481.5015,2,9800,1920
1493,187798.0767,3,15410,1974
1494,198822.1989,4,13143,1993
1495,194868.4099,4,11134,1992
1496,152605.2986,2,4835,2004
1497,147797.7028,2,3515,2004
1498,150521.969,2,3215,2004
1499,146991.6302,2,2544,2004
1500,150306.3078,2,2544,2005
1501,151164.3725,2,2980,2000
1502,151133.707,2,2403,2003
1503,156214.0425,1,12853,2010
1504,171992.7607,3,7379,2000
1505,173214.9125,3,8000,2002
1506,192429.1873,4,10456,1967
1507,190878.6951,4,10791,1993
1508,194542.5441,3,18837,1978
1509,191849.4391,4,9600,1971
1510,176363.7739,3,9600,1966
1511,176954.1854,3,9900,1966
1512,176521.217,3,9680,1967
1513,179436.7048,3,10600,1964
1514,220079.7568,6,13260,1962
1515,175502.9181,3,9724,1952
1516,188321.0738,3,17360,1949
1517,163276.3245,2,11380,1966
1518,185911.3663,4,8267,1958
1519,171392.831,3,8197,2003
1520,174418.207,3,8050,1959
1521,179682.7096,3,10725,1959
1522,179423.7516,3,10032,1959
1523,171756.9181,3,8382,1956
1524,166849.6382,2,10950,1952
1525,181122.1687,3,10895,1955
1526,170934.4627,2,13587,1958
1527,159738.2926,2,7898,1920
1528,174445.7596,3,8064,1948
1529,174706.3637,3,7635,1960
1530,164507.6725,2,9760,1963
1531,163602.5122,3,4800,1900
1532,154126.2702,2,4485,1920
1533,171104.8535,3,5805,1957
1534,167735.3927,3,6900,1938
1535,183003.6133,3,11851,1948
1536,172580.3812,3,8239,1920
1537,165407.8891,2,9656,1923
1538,176363.7739,3,9600,1900
1539,175182.9509,3,9000,1890
1540,190757.1778,4,9045,1910
1541,167186.9958,2,10560,1922
1542,167839.3768,3,5830,1950
1543,173912.4212,3,7793,1922
1544,154034.9174,2,5000,1925
1545,156002.9558,2,6000,1939
1546,168173.9433,3,6000,1940
1547,168882.4371,3,6360,1942
1548,168173.9433,3,6000,1948
